date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:25	37172/37172	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:51%20GMT	https://preview.colorlib.com/theme/capitalshop/index.html	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/index.html	(from )
13:23:25	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
13:23:26	1174/1174	---M--	200	added ('OK')	image/png	etag:%22496-5bb3fd5fbe34a%22	https://preview.colorlib.com/theme/capitalshop/assets/img/icon/favicon.png	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/assets/img/icon/favicon.png	(from https://preview.colorlib.com/theme/capitalshop/index.html)
13:23:26	26023/26023	---M-Z	200	added ('OK')	text/css	etag:%2265a7-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/bootstrap.min.css	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/capitalshop/index.html)
13:23:27	183/183	---M-Z	200	added ('OK')	text/css	etag:%22b7-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/owl.carousel.min.css	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/capitalshop/index.html)
13:23:27	2506/2506	---M-Z	200	added ('OK')	text/css	etag:%229ca-5c220b779c9ee-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/slicknav.css	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/capitalshop/index.html)
13:23:27	977/977	---M-Z	200	added ('OK')	text/css	etag:%223d1-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css	(from https://preview.colorlib.com/theme/capitalshop/index.html)
13:23:28	34524/34524	---M-Z	200	added ('OK')	text/css	etag:%2286dc-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/animate.min.css	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/capitalshop/index.html)
13:23:28	6344/6344	---M-Z	200	added ('OK')	text/css	etag:%2218c8-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/price_rangs.css	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/assets/css/price_rangs.css	(from https://preview.colorlib.com/theme/capitalshop/index.html)
13:23:29	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/magnific-popup.css	C:/Users/elebo/OneDrive/Desktop/CAPSTONE-UI/CAPSTONE/preview.colorlib.com/theme/capitalshop/assets/css/magnific-popup.css	(from https://preview.colorlib.com/theme/capitalshop/index.html)
